symbol,date,candle_open,signal,entry,exit,sl,tg,exit_criteria,trade_result,pnl
NSE:BPCL-EQ,06-05-2026,09:45:00,1,303.4,303.25,303.25,304.31,SL,loss,-49.35
NSE:BPCL-EQ,06-05-2026,10:00:00,-1,303.2,303.55,303.55,302.29,SL,loss,-115.15
NSE:BPCL-EQ,06-05-2026,10:15:00,1,303.1,303.0,303.0,304.01,SL,loss,-32.9
NSE:BPCL-EQ,06-05-2026,10:30:00,1,302.95,303.86,302.6,303.86,TG,profit,300.3
NSE:BPCL-EQ,06-05-2026,10:45:00,1,303.1,304.01,302.7,304.01,TG,profit,299.39
NSE:BPCL-EQ,06-05-2026,11:00:00,1,304.55,304.65,303.05,305.46,OPEN,profit,32.8
NSE:BPCL-EQ,06-05-2026,11:15:00,1,304.65,304.65,304.3,305.56,OPEN,breakeven,0.0
NSE:NTPC-EQ,06-05-2026,09:30:00,1,397.85,396.9,396.9,399.04,SL,loss,-238.45
NSE:NTPC-EQ,06-05-2026,09:45:00,1,398.15,397.35,397.35,399.34,SL,loss,-200.8
NSE:NTPC-EQ,06-05-2026,10:00:00,-1,397.3,396.11,398.2,396.11,TG,profit,298.69
NSE:NTPC-EQ,06-05-2026,10:30:00,1,396.55,395.5,395.5,397.74,SL,loss,-264.6
NSE:NTPC-EQ,06-05-2026,11:15:00,-1,395.35,395.35,396.15,394.16,OPEN,breakeven,0.0
NSE:RELIANCE-EQ,06-05-2026,10:00:00,-1,1455.5,1451.13,1461.8,1451.13,TG,profit,297.16
NSE:RELIANCE-EQ,06-05-2026,10:15:00,1,1453.8,1451.9,1451.9,1458.16,SL,loss,-129.2
NSE:RELIANCE-EQ,06-05-2026,10:30:00,1,1454.4,1450.0,1450.0,1458.76,SL,loss,-299.2
NSE:RELIANCE-EQ,06-05-2026,10:45:00,-1,1445.1,1450.0,1454.4,1440.76,OPEN,loss,-338.1
NSE:RELIANCE-EQ,06-05-2026,11:00:00,1,1448.0,1450.0,1445.0,1452.34,OPEN,profit,138.0
NSE:SBIN-EQ,06-05-2026,09:30:00,-1,1068.8,1065.59,1076.5,1065.59,TG,profit,298.53
NSE:SBIN-EQ,06-05-2026,09:45:00,1,1067.4,1067.2,1067.2,1070.6,SL,loss,-18.6
NSE:SBIN-EQ,06-05-2026,10:00:00,1,1068.4,1066.3,1066.3,1071.61,SL,loss,-195.3
NSE:SBIN-EQ,06-05-2026,10:15:00,1,1068.7,1066.0,1066.0,1071.91,SL,loss,-251.1
NSE:SBIN-EQ,06-05-2026,10:30:00,1,1070.4,1067.0,1067.0,1073.61,SL,loss,-316.2
NSE:SBIN-EQ,06-05-2026,10:45:00,1,1069.0,1068.1,1068.1,1072.21,SL,loss,-83.7
NSE:SBIN-EQ,06-05-2026,11:00:00,1,1065.7,1065.2,1065.2,1068.9,SL,loss,-46.5
NSE:SBIN-EQ,06-05-2026,11:15:00,-1,1066.0,1066.0,1067.3,1062.8,OPEN,breakeven,0.0
